dataset                       , source    , used_adjusted_folder, n_train, n_test, series_length, n_classes, train_class_counts                                                                                                                                                                 , min_class_frac, max_class_frac, imbalance_ratio, train_raw_nan, test_raw_nan, sanity_ok
CricketZ                      , UCR       , False               ,     390,    390,           300,        12, 32 27 25 32 29 36 41 37 31 31 33 36                                                                                                                                                ,         0.0641,         0.1051,            1.64,             0,            0, True
DiatomSizeReduction           , UCR       , False               ,      16,    306,           345,         4, 1 6 5 4                                                                                                                                                                            ,         0.0625,         0.375 ,            6.0 ,             0,            0, True
DistalPhalanxOutlineAgeGroup  , UCR       , False               ,     400,    139,            80,         3, 30 113 257                                                                                                                                                                         ,         0.075 ,         0.6425,            8.57,             0,            0, True
DistalPhalanxOutlineCorrect   , UCR       , False               ,     600,    276,            80,         2, 222 378                                                                                                                                                                            ,         0.37  ,         0.63  ,            1.7 ,             0,            0, True
DistalPhalanxTW               , UCR       , False               ,     400,    139,            80,         6, 29 28 82 30 18 213                                                                                                                                                                 ,         0.045 ,         0.5325,           11.83,             0,            0, True
Earthquakes                   , UCR       , False               ,     322,    139,           512,         2, 264 58                                                                                                                                                                             ,         0.1801,         0.8199,            4.55,             0,            0, True
ECG200                        , UCR       , False               ,     100,    100,            96,         2, 31 69                                                                                                                                                                              ,         0.31  ,         0.69  ,            2.23,             0,            0, True
ECG5000                       , UCR       , False               ,     500,   4500,           140,         5, 292 177 10 19 2                                                                                                                                                                    ,         0.004 ,         0.584 ,          146.0 ,             0,            0, True
ECGFiveDays                   , UCR       , False               ,      23,    861,           136,         2, 14 9                                                                                                                                                                               ,         0.3913,         0.6087,            1.56,             0,            0, True
ElectricDevices               , UCR       , False               ,    8926,   7711,            96,         7, 727 2231 851 1474 2406 509 728                                                                                                                                                     ,         0.057 ,         0.2695,            4.73,             0,            0, True
FaceAll                       , UCR       , False               ,     560,   1690,           131,        14, 40 40 40 40 40 40 40 40 40 40 40 40 40 40                                                                                                                                          ,         0.0714,         0.0714,            1.0 ,             0,            0, True
FaceFour                      , UCR       , False               ,      24,     88,           350,         4, 8 8 3 5                                                                                                                                                                            ,         0.125 ,         0.3333,            2.67,             0,            0, True
FacesUCR                      , UCR       , False               ,     200,   2050,           131,        14, 13 12 10 22 15 13 14 27 12 8 4 11 33 6                                                                                                                                             ,         0.02  ,         0.165 ,            8.25,             0,            0, True
FiftyWords                    , UCR       , False               ,     450,    455,           270,        50, 52 49 33 20 13 15 16 11 11 10 10 13 14 8 7 6 7 8 9 7 7 5 6 4 2 6 4 6 4 6 3 7 5 3 6 6 5 4 4 4 1 2 4 6 4 4 4 5 2 2                                                                   ,         0.0022,         0.1156,           52.0 ,             0,            0, True
Fish                          , UCR       , False               ,     175,    175,           463,         7, 26 25 28 21 22 25 28                                                                                                                                                               ,         0.12  ,         0.16  ,            1.33,             0,            0, True
FordA                         , UCR       , False               ,    3601,   1320,           500,         2, 1846 1755                                                                                                                                                                          ,         0.4874,         0.5126,            1.05,             0,            0, True
FordB                         , UCR       , False               ,    3636,    810,           500,         2, 1860 1776                                                                                                                                                                          ,         0.4884,         0.5116,            1.05,             0,            0, True
GunPoint                      , UCR       , False               ,      50,    150,           150,         2, 24 26                                                                                                                                                                              ,         0.48  ,         0.52  ,            1.08,             0,            0, True
Ham                           , UCR       , False               ,     109,    105,           431,         2, 52 57                                                                                                                                                                              ,         0.4771,         0.5229,            1.1 ,             0,            0, True
HandOutlines                  , UCR       , False               ,    1000,    370,          2709,         2, 362 638                                                                                                                                                                            ,         0.362 ,         0.638 ,            1.76,             0,            0, True
Haptics                       , UCR       , False               ,     155,    308,          1092,         5, 18 34 34 36 33                                                                                                                                                                     ,         0.1161,         0.2323,            2.0 ,             0,            0, True
Herring                       , UCR       , False               ,      64,     64,           512,         2, 39 25                                                                                                                                                                              ,         0.3906,         0.6094,            1.56,             0,            0, True
InlineSkate                   , UCR       , False               ,     100,    550,          1882,         7, 9 14 18 18 16 14 11                                                                                                                                                                ,         0.09  ,         0.18  ,            2.0 ,             0,            0, True
InsectWingbeatSound           , UCR       , False               ,     220,   1980,           256,        11, 20 20 20 20 20 20 20 20 20 20 20                                                                                                                                                   ,         0.0909,         0.0909,            1.0 ,             0,            0, True
ItalyPowerDemand              , UCR       , False               ,      67,   1029,            24,         2, 34 33                                                                                                                                                                              ,         0.4925,         0.5075,            1.03,             0,            0, True
LargeKitchenAppliances        , UCR       , False               ,     375,    375,           720,         3, 125 125 125                                                                                                                                                                        ,         0.3333,         0.3333,            1.0 ,             0,            0, True
Lightning2                    , UCR       , False               ,      60,     61,           637,         2, 20 40                                                                                                                                                                              ,         0.3333,         0.6667,            2.0 ,             0,            0, True
Lightning7                    , UCR       , False               ,      70,     73,           319,         7, 8 8 8 12 5 19 10                                                                                                                                                                   ,         0.0714,         0.2714,            3.8 ,             0,            0, True
Mallat                        , UCR       , False               ,      55,   2345,          1024,         8, 6 8 6 11 2 6 9 7                                                                                                                                                                   ,         0.0364,         0.2   ,            5.5 ,             0,            0, True
Meat                          , UCR       , False               ,      60,     60,           448,         3, 20 20 20                                                                                                                                                                           ,         0.3333,         0.3333,            1.0 ,             0,            0, True
MedicalImages                 , UCR       , False               ,     381,    760,            99,        10, 35 15 25 16 10 7 18 6 46 203                                                                                                                                                       ,         0.0157,         0.5328,           33.83,             0,            0, True
MiddlePhalanxOutlineAgeGroup  , UCR       , False               ,     400,    154,            80,         3, 55 108 237                                                                                                                                                                         ,         0.1375,         0.5925,            4.31,             0,            0, True
MiddlePhalanxOutlineCorrect   , UCR       , False               ,     600,    291,            80,         2, 212 388                                                                                                                                                                            ,         0.3533,         0.6467,            1.83,             0,            0, True
MiddlePhalanxTW               , UCR       , False               ,     399,    154,            80,         6, 57 84 43 30 25 160                                                                                                                                                                 ,         0.0627,         0.401 ,            6.4 ,             0,            0, True
MoteStrain                    , UCR       , False               ,      20,   1252,            84,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
NonInvasiveFetalECGThorax1    , UCR       , False               ,    1800,   1965,           750,        42, 36 52 45 40 48 44 36 50 46 56 36 39 46 42 40 39 52 45 40 49 43 40 35 41 41 37 47 40 47 40 43 41 37 52 45 40 37 41 43 45 39 45                                                      ,         0.0194,         0.0311,            1.6 ,             0,            0, True
NonInvasiveFetalECGThorax2    , UCR       , False               ,    1800,   1965,           750,        42, 36 52 45 40 48 44 36 50 46 56 36 39 46 42 40 39 52 45 40 49 43 40 35 41 41 37 47 40 47 40 43 41 37 52 45 40 37 41 43 45 39 45                                                      ,         0.0194,         0.0311,            1.6 ,             0,            0, True
OliveOil                      , UCR       , False               ,      30,     30,           570,         4, 5 8 4 13                                                                                                                                                                           ,         0.1333,         0.4333,            3.25,             0,            0, True
OSULeaf                       , UCR       , False               ,     200,    242,           427,         6, 34 29 33 53 36 15                                                                                                                                                                  ,         0.075 ,         0.265 ,            3.53,             0,            0, True
PhalangesOutlinesCorrect      , UCR       , False               ,    1800,    858,            80,         2, 628 1172                                                                                                                                                                           ,         0.3489,         0.6511,            1.87,             0,            0, True
Phoneme                       , UCR       , False               ,     214,   1896,          1024,        39, 4 5 24 3 1 3 5 1 8 1 7 7 4 4 3 2 11 8 2 10 13 7 15 2 3 1 6 11 12 3 15 1 1 2 3 2 1 2 1                                                                                              ,         0.0047,         0.1121,           24.0 ,             0,            0, True
Plane                         , UCR       , False               ,     105,    105,           144,         7, 15 14 9 16 13 18 20                                                                                                                                                                ,         0.0857,         0.1905,            2.22,             0,            0, True
ProximalPhalanxOutlineAgeGroup, UCR       , False               ,     400,    205,            80,         3, 72 139 189                                                                                                                                                                         ,         0.18  ,         0.4725,            2.62,             0,            0, True
ProximalPhalanxOutlineCorrect , UCR       , False               ,     600,    291,            80,         2, 194 406                                                                                                                                                                            ,         0.3233,         0.6767,            2.09,             0,            0, True
ProximalPhalanxTW             , UCR       , False               ,     400,    205,            80,         6, 16 109 58 20 17 180                                                                                                                                                                ,         0.04  ,         0.45  ,           11.25,             0,            0, True
RefrigerationDevices          , UCR       , False               ,     375,    375,           720,         3, 125 125 125                                                                                                                                                                        ,         0.3333,         0.3333,            1.0 ,             0,            0, True
ScreenType                    , UCR       , False               ,     375,    375,           720,         3, 125 125 125                                                                                                                                                                        ,         0.3333,         0.3333,            1.0 ,             0,            0, True
ShapeletSim                   , UCR       , False               ,      20,    180,           500,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
ShapesAll                     , UCR       , False               ,     600,    600,           512,        60, 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,         0.0167,         0.0167,            1.0 ,             0,            0, True
SmallKitchenAppliances        , UCR       , False               ,     375,    375,           720,         3, 125 125 125                                                                                                                                                                        ,         0.3333,         0.3333,            1.0 ,             0,            0, True
SonyAIBORobotSurface1         , UCR       , False               ,      20,    601,            70,         2, 6 14                                                                                                                                                                               ,         0.3   ,         0.7   ,            2.33,             0,            0, True
SonyAIBORobotSurface2         , UCR       , False               ,      27,    953,            65,         2, 11 16                                                                                                                                                                              ,         0.4074,         0.5926,            1.45,             0,            0, True
StarLightCurves               , UCR       , False               ,    1000,   8236,          1024,         3, 152 275 573                                                                                                                                                                        ,         0.152 ,         0.573 ,            3.77,             0,            0, True
Strawberry                    , UCR       , False               ,     613,    370,           235,         2, 219 394                                                                                                                                                                            ,         0.3573,         0.6427,            1.8 ,             0,            0, True
SwedishLeaf                   , UCR       , False               ,     500,    625,           128,        15, 29 36 35 36 33 30 28 31 33 26 35 38 33 42 35                                                                                                                                       ,         0.052 ,         0.084 ,            1.62,             0,            0, True
Symbols                       , UCR       , False               ,      25,    995,           398,         6, 8 5 3 3 3 3                                                                                                                                                                        ,         0.12  ,         0.32  ,            2.67,             0,            0, True
SyntheticControl              , UCR       , False               ,     300,    300,            60,         6, 50 50 50 50 50 50                                                                                                                                                                  ,         0.1667,         0.1667,            1.0 ,             0,            0, True
ToeSegmentation1              , UCR       , False               ,      40,    228,           277,         2, 20 20                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
ToeSegmentation2              , UCR       , False               ,      36,    130,           343,         2, 18 18                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Trace                         , UCR       , False               ,     100,    100,           275,         4, 26 21 22 31                                                                                                                                                                        ,         0.21  ,         0.31  ,            1.48,             0,            0, True
TwoLeadECG                    , UCR       , False               ,      23,   1139,            82,         2, 12 11                                                                                                                                                                              ,         0.4783,         0.5217,            1.09,             0,            0, True
TwoPatterns                   , UCR       , False               ,    1000,   4000,           128,         4, 271 237 250 242                                                                                                                                                                    ,         0.237 ,         0.271 ,            1.14,             0,            0, True
UWaveGestureLibraryAll        , UCR       , False               ,     896,   3582,           945,         8, 122 108 106 110 127 111 112 100                                                                                                                                                    ,         0.1116,         0.1417,            1.27,             0,            0, True
UWaveGestureLibraryX          , UCR       , False               ,     896,   3582,           315,         8, 122 108 106 110 127 111 112 100                                                                                                                                                    ,         0.1116,         0.1417,            1.27,             0,            0, True
UWaveGestureLibraryY          , UCR       , False               ,     896,   3582,           315,         8, 122 108 106 110 127 111 112 100                                                                                                                                                    ,         0.1116,         0.1417,            1.27,             0,            0, True
UWaveGestureLibraryZ          , UCR       , False               ,     896,   3582,           315,         8, 122 108 106 110 127 111 112 100                                                                                                                                                    ,         0.1116,         0.1417,            1.27,             0,            0, True
Wafer                         , UCR       , False               ,    1000,   6164,           152,         2, 97 903                                                                                                                                                                             ,         0.097 ,         0.903 ,            9.31,             0,            0, True
Wine                          , UCR       , False               ,      57,     54,           234,         2, 30 27                                                                                                                                                                              ,         0.4737,         0.5263,            1.11,             0,            0, True
WordSynonyms                  , UCR       , False               ,     267,    638,           270,        25, 6 60 5 35 5 17 4 24 6 12 6 8 3 10 4 14 5 5 4 7 4 8 6 7 2                                                                                                                           ,         0.0075,         0.2247,           30.0 ,             0,            0, True
Worms                         , UCR       , False               ,     181,     77,           900,         5, 76 31 25 32 17                                                                                                                                                                     ,         0.0939,         0.4199,            4.47,             0,            0, True
WormsTwoClass                 , UCR       , False               ,     181,     77,           900,         2, 76 105                                                                                                                                                                             ,         0.4199,         0.5801,            1.38,             0,            0, True
Yoga                          , UCR       , False               ,     300,   3000,           426,         2, 137 163                                                                                                                                                                            ,         0.4567,         0.5433,            1.19,             0,            0, True
ACSF1                         , UCR       , False               ,     100,    100,          1460,        10, 10 10 10 10 10 10 10 10 10 10                                                                                                                                                      ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
AllGestureWiimoteX            , UCR       , True                ,     300,    700,           500,        10, 30 30 30 30 30 30 30 30 30 30                                                                                                                                                      ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
AllGestureWiimoteY            , UCR       , True                ,     300,    700,           500,        10, 30 30 30 30 30 30 30 30 30 30                                                                                                                                                      ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
AllGestureWiimoteZ            , UCR       , True                ,     300,    700,           500,        10, 30 30 30 30 30 30 30 30 30 30                                                                                                                                                      ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
BME                           , UCR       , False               ,      30,    150,           128,         3, 10 10 10                                                                                                                                                                           ,         0.3333,         0.3333,            1.0 ,             0,            0, True
Chinatown                     , UCR       , False               ,      20,    343,            24,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Crop                          , UCR       , False               ,    7200,  16800,            46,        24, 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300                                                                                    ,         0.0417,         0.0417,            1.0 ,             0,            0, True
DodgerLoopDay                 , UCR       , True                ,      78,     80,           288,         7, 12 10 10 11 12 12 11                                                                                                                                                               ,         0.1282,         0.1538,            1.2 ,             0,            0, True
DodgerLoopGame                , UCR       , True                ,      20,    138,           288,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
DodgerLoopWeekend             , UCR       , True                ,      20,    138,           288,         2, 10 10                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
EOGHorizontalSignal           , UCR       , False               ,     362,    362,          1250,        12, 30 30 30 30 30 31 31 30 30 30 30 30                                                                                                                                                ,         0.0829,         0.0856,            1.03,             0,            0, True
EOGVerticalSignal             , UCR       , False               ,     362,    362,          1250,        12, 30 30 30 30 30 31 31 30 30 30 30 30                                                                                                                                                ,         0.0829,         0.0856,            1.03,             0,            0, True
EthanolLevel                  , UCR       , False               ,     504,    500,          1751,         4, 126 126 126 126                                                                                                                                                                    ,         0.25  ,         0.25  ,            1.0 ,             0,            0, True
FreezerRegularTrain           , UCR       , False               ,     150,   2850,           301,         2, 75 75                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
FreezerSmallTrain             , UCR       , False               ,      28,   2850,           301,         2, 14 14                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Fungi                         , UCR       , False               ,      18,    186,           201,        18, 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1                                                                                                                                                ,         0.0556,         0.0556,            1.0 ,             0,            0, True
GestureMidAirD1               , UCR       , True                ,     208,    130,           360,        26, 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8                                                                                                                                ,         0.0385,         0.0385,            1.0 ,             0,            0, True
GestureMidAirD2               , UCR       , True                ,     208,    130,           360,        26, 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8                                                                                                                                ,         0.0385,         0.0385,            1.0 ,             0,            0, True
GestureMidAirD3               , UCR       , True                ,     208,    130,           360,        26, 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8                                                                                                                                ,         0.0385,         0.0385,            1.0 ,             0,            0, True
GesturePebbleZ1               , UCR       , True                ,     132,    172,           455,         6, 21 20 22 22 25 22                                                                                                                                                                  ,         0.1515,         0.1894,            1.25,             0,            0, True
GesturePebbleZ2               , UCR       , True                ,     146,    158,           455,         6, 25 23 24 24 24 26                                                                                                                                                                  ,         0.1575,         0.1781,            1.13,             0,            0, True
GunPointAgeSpan               , UCR       , False               ,     135,    316,           150,         2, 68 67                                                                                                                                                                              ,         0.4963,         0.5037,            1.01,             0,            0, True
GunPointMaleVersusFemale      , UCR       , False               ,     135,    316,           150,         2, 71 64                                                                                                                                                                              ,         0.4741,         0.5259,            1.11,             0,            0, True
GunPointOldVersusYoung        , UCR       , False               ,     136,    315,           150,         2, 65 71                                                                                                                                                                              ,         0.4779,         0.5221,            1.09,             0,            0, True
HouseTwenty                   , UCR       , False               ,      40,    119,          2000,         2, 20 20                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
InsectEPGRegularTrain         , UCR       , False               ,      62,    249,           601,         3, 22 30 10                                                                                                                                                                           ,         0.1613,         0.4839,            3.0 ,             0,            0, True
InsectEPGSmallTrain           , UCR       , False               ,      17,    249,           601,         3, 6 8 3                                                                                                                                                                              ,         0.1765,         0.4706,            2.67,             0,            0, True
MelbournePedestrian           , UCR       , True                ,    1194,   2439,            24,        10, 120 120 120 120 120 120 120 115 119 120                                                                                                                                            ,         0.0963,         0.1005,            1.04,             0,            0, True
MixedShapesRegularTrain       , UCR       , False               ,     500,   2425,          1024,         5, 100 100 100 100 100                                                                                                                                                                ,         0.2   ,         0.2   ,            1.0 ,             0,            0, True
MixedShapesSmallTrain         , UCR       , False               ,     100,   2425,          1024,         5, 20 20 20 20 20                                                                                                                                                                     ,         0.2   ,         0.2   ,            1.0 ,             0,            0, True
PLAID                         , UCR       , True                ,     537,    537,          1344,        11, 33 88 57 19 78 18 57 86 69 19 13                                                                                                                                                   ,         0.0242,         0.1639,            6.77,             0,            0, True
PickupGestureWiimoteZ         , UCR       , True                ,      50,     50,           361,        10, 5 5 5 5 5 5 5 5 5 5                                                                                                                                                                ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
PigAirwayPressure             , UCR       , False               ,     104,    208,          2000,        52, 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2                                                                            ,         0.0192,         0.0192,            1.0 ,             0,            0, True
PigArtPressure                , UCR       , False               ,     104,    208,          2000,        52, 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2                                                                            ,         0.0192,         0.0192,            1.0 ,             0,            0, True
PigCVP                        , UCR       , False               ,     104,    208,          2000,        52, 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2                                                                            ,         0.0192,         0.0192,            1.0 ,             0,            0, True
PowerCons                     , UCR       , False               ,     180,    180,           144,         2, 90 90                                                                                                                                                                              ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
Rock                          , UCR       , False               ,      20,     50,          2844,         4, 5 5 5 5                                                                                                                                                                            ,         0.25  ,         0.25  ,            1.0 ,             0,            0, True
SemgHandGenderCh2             , UCR       , False               ,     300,    600,          1500,         2, 150 150                                                                                                                                                                            ,         0.5   ,         0.5   ,            1.0 ,             0,            0, True
SemgHandMovementCh2           , UCR       , False               ,     450,    450,          1500,         6, 75 75 75 75 75 75                                                                                                                                                                  ,         0.1667,         0.1667,            1.0 ,             0,            0, True
SemgHandSubjectCh2            , UCR       , False               ,     450,    450,          1500,         5, 90 90 90 90 90                                                                                                                                                                     ,         0.2   ,         0.2   ,            1.0 ,             0,            0, True
ShakeGestureWiimoteZ          , UCR       , True                ,      50,     50,           385,        10, 5 5 5 5 5 5 5 5 5 5                                                                                                                                                                ,         0.1   ,         0.1   ,            1.0 ,             0,            0, True
SmoothSubspace                , UCR       , False               ,     150,    150,            15,         3, 50 50 50                                                                                                                                                                           ,         0.3333,         0.3333,            1.0 ,             0,            0, True
UMD                           , UCR       , False               ,      36,    144,           150,         3, 12 12 12                                                                                                                                                                           ,         0.3333,         0.3333,            1.0 ,             0,            0, True
